Bandit,Reward,Algorithm
Bandit,3.2896439501065857,Epsilon Greedy
Bandit,3.4825461438208825,Epsilon Greedy
Bandit,3.839096435421288,Epsilon Greedy
Bandit,3.516661375617178,Epsilon Greedy
Bandit,3.6960361020539185,Epsilon Greedy
Bandit,1.862185567421811,Epsilon Greedy
Bandit,4.381775938329519,Epsilon Greedy
Bandit,5.3667625998684185,Epsilon Greedy
Bandit,3.1148648273438146,Epsilon Greedy
Bandit,2.535263314223866,Epsilon Greedy
Bandit,4.2299890298309695,Epsilon Greedy
Bandit,2.673393148221356,Epsilon Greedy
Bandit,5.6398605773214125,Epsilon Greedy
Bandit,2.0861362916575823,Epsilon Greedy
Bandit,4.256286764533096,Epsilon Greedy
Bandit,3.099461277433451,Epsilon Greedy
Bandit,5.185692697403688,Epsilon Greedy
Bandit,3.1075908541917405,Epsilon Greedy
Bandit,5.033983616667607,Epsilon Greedy
Bandit,2.19170100818139,Epsilon Greedy
Bandit,3.245226297663584,Epsilon Greedy
Bandit,3.2362649916147657,Epsilon Greedy
Bandit,3.5083703311127685,Epsilon Greedy
Bandit,1.9202988226444209,Epsilon Greedy
Bandit,5.049002806227245,Epsilon Greedy
